reporting_fiscal_year,reporting_as_of_date,category,subcategory,month_to_date_actual_amount,month_to_date_budgeted_amount,year_to_date_actual_amount,year_to_date_budgeted_amount,ObjectId
2016,2016/01/31 05:00:00+00,Expenses,Operating Expenses,123446863,129107161.8,858437150.3,916366227.7,189
2018,2018/06/30 04:00:00+00,Revenue,Non-Operating Revenues,133134656.4,102619498.5,1266142824,1200989314,190
2016,2016/01/31 05:00:00+00,Revenue,Operating Revenues,53195340.94,53658573.9,397073620.3,395421144.1,191
2018,2018/06/30 04:00:00+00,Expenses,Operating Expenses,123887907.5,123000111.8,1543184567,1546257636,192
2018,2018/06/30 04:00:00+00,Revenue,Operating Revenues,66474234.76,66732428.94,749159783.3,766196335.3,193
2018,2018/05/31 04:00:00+00,Expenses,Debt Service,40993554.01,37622483.24,438569246.7,413767986.1,194
2018,2018/05/31 04:00:00+00,Revenue,Non-Operating Revenues,103505845.2,99484982,1133008168,1098369815,195
2018,2018/05/31 04:00:00+00,Expenses,Operating Expenses,128178338.7,127063914.9,1419296660,1423257524,196
2018,2018/05/31 04:00:00+00,Revenue,Operating Revenues,64332640.63,64881443.65,682685548.5,699463906.4,197
2018,2018/04/30 04:00:00+00,Expenses,Debt Service,40999720.54,37622483.13,397575692.7,376145502.9,198
2018,2018/04/30 04:00:00+00,Revenue,Non-Operating Revenues,103421623.9,100889253.7,1029502322,998884833.4,199
2018,2018/04/30 04:00:00+00,Expenses,Operating Expenses,128769597.8,124153024.3,1291118321,1296193609,200
2018,2018/04/30 04:00:00+00,Revenue,Operating Revenues,61927759.21,64600514.46,618352907.9,634582462.6,201
2018,2018/03/31 04:00:00+00,Expenses,Debt Service,41269232.24,37622485.13,356575972.2,338523019.8,202
2018,2018/03/31 04:00:00+00,Revenue,Non-Operating Revenues,102323166.2,100267807.9,926080698.5,897995579.7,203
2018,2018/03/31 04:00:00+00,Expenses,Operating Expenses,130644805.3,138945967.7,1162348723,1172040585,204
2018,2018/03/31 04:00:00+00,Revenue,Operating Revenues,60464524.35,63066027.74,556425148.7,569981948.2,205
2018,2018/02/28 05:00:00+00,Expenses,Debt Service,40753995.68,37622483.13,315306739.9,300900534.6,206
2018,2018/02/28 05:00:00+00,Revenue,Non-Operating Revenues,105399339.9,99490053.31,823757532.3,797727771.8,207
2018,2018/02/28 05:00:00+00,Expenses,Operating Expenses,124506260.4,125178585.6,1031703918,1033094617,208
2018,2018/02/28 05:00:00+00,Revenue,Operating Revenues,58008350.47,58689145.37,495960624.2,506915920.5,209
2018,2018/01/31 05:00:00+00,Expenses,Debt Service,41199375.47,37622486.13,274552744.2,263278051.5,210
2018,2018/01/31 05:00:00+00,Revenue,Non-Operating Revenues,104986115.2,99487091.15,718358192.4,698237718.5,211
2018,2018/01/31 05:00:00+00,Expenses,Operating Expenses,133198162.4,133737910.7,907224452.1,907916031.6,212
